Dec 08 11:15:41.364 INFO: manager: 1.2.2
Dec 08 12:00:48.357 INFO: ManagerServant: Master manager not found
Dec 08 12:00:58.386 INFO: ManagerServant: Master manager not found
Dec 08 12:01:08.407 INFO: ManagerServant: Master manager not found
Dec 08 12:01:18.438 INFO: ManagerServant: Master manager not found
Dec 08 12:01:28.481 INFO: ManagerServant: Master manager not found
Dec 08 12:01:38.519 INFO: ManagerServant: Master manager not found
Dec 08 12:01:48.548 INFO: ManagerServant: Master manager not found
Dec 08 12:01:58.579 INFO: ManagerServant: Master manager not found
Dec 08 12:02:08.609 INFO: ManagerServant: Master manager not found
Dec 08 12:02:18.640 INFO: ManagerServant: Master manager not found
Dec 08 12:02:28.670 INFO: ManagerServant: Master manager not found
Dec 08 12:02:38.702 INFO: ManagerServant: Master manager not found
Dec 08 12:02:48.735 INFO: ManagerServant: Master manager not found
Dec 08 12:02:58.777 INFO: ManagerServant: Master manager not found
Dec 08 12:03:08.808 INFO: ManagerServant: Master manager not found
Dec 08 12:03:18.834 INFO: ManagerServant: Master manager not found
Dec 08 12:03:28.855 INFO: ManagerServant: Master manager not found
Dec 08 12:03:38.892 INFO: ManagerServant: Master manager not found
Dec 08 12:03:48.933 INFO: ManagerServant: Master manager not found
Dec 08 12:03:58.975 INFO: ManagerServant: Master manager not found
Dec 08 12:04:09.008 INFO: ManagerServant: Master manager not found
Dec 08 12:04:19.044 INFO: ManagerServant: Master manager not found
Dec 08 12:04:29.077 INFO: ManagerServant: Master manager not found
Dec 08 12:04:39.107 INFO: ManagerServant: Master manager not found
Dec 08 12:04:49.142 INFO: ManagerServant: Master manager not found
Dec 08 12:04:59.174 INFO: ManagerServant: Master manager not found
Dec 08 12:05:09.208 INFO: ManagerServant: Master manager not found
Dec 08 12:05:19.244 INFO: ManagerServant: Master manager not found
Dec 08 12:05:29.264 INFO: ManagerServant: Master manager not found
Dec 08 12:05:39.292 INFO: ManagerServant: Master manager not found
Dec 08 12:05:49.318 INFO: ManagerServant: Master manager not found
Dec 08 12:05:59.344 INFO: ManagerServant: Master manager not found
Dec 08 12:06:09.378 INFO: ManagerServant: Master manager not found
Dec 08 12:06:19.406 INFO: ManagerServant: Master manager not found
Dec 08 12:06:29.428 INFO: ManagerServant: Master manager not found
Dec 08 12:06:39.463 INFO: ManagerServant: Master manager not found
Dec 08 12:06:49.488 INFO: ManagerServant: Master manager not found
Dec 08 12:06:59.519 INFO: ManagerServant: Master manager not found
Dec 08 12:07:09.557 INFO: ManagerServant: Master manager not found
Dec 08 12:07:19.579 INFO: ManagerServant: Master manager not found
Dec 08 12:07:29.611 INFO: ManagerServant: Master manager not found
Dec 08 12:07:39.645 INFO: ManagerServant: Master manager not found
Dec 08 12:07:49.675 INFO: ManagerServant: Master manager not found
Dec 08 12:07:59.703 INFO: ManagerServant: Master manager not found
Dec 08 12:08:09.739 INFO: ManagerServant: Master manager not found
Dec 08 12:08:19.770 INFO: ManagerServant: Master manager not found
Dec 08 12:08:29.811 INFO: ManagerServant: Master manager not found
Dec 08 12:08:39.850 INFO: ManagerServant: Master manager not found
Dec 08 12:08:49.882 INFO: ManagerServant: Master manager not found
Dec 08 12:08:59.910 INFO: ManagerServant: Master manager not found
Dec 08 12:09:09.944 INFO: ManagerServant: Master manager not found
Dec 08 12:09:19.985 INFO: ManagerServant: Master manager not found
Dec 08 12:09:30.024 INFO: ManagerServant: Master manager not found
Dec 08 12:09:40.064 INFO: ManagerServant: Master manager not found
Dec 08 12:09:50.103 INFO: ManagerServant: Master manager not found
Dec 08 12:10:00.136 INFO: ManagerServant: Master manager not found
Dec 08 12:10:10.161 INFO: ManagerServant: Master manager not found
Dec 08 12:10:20.180 INFO: ManagerServant: Master manager not found
Dec 08 12:10:30.208 INFO: ManagerServant: Master manager not found
Dec 08 12:10:40.238 INFO: ManagerServant: Master manager not found
Dec 08 12:10:50.261 INFO: ManagerServant: Master manager not found
Dec 08 12:11:00.293 INFO: ManagerServant: Master manager not found
Dec 08 12:11:10.329 INFO: ManagerServant: Master manager not found
Dec 08 12:11:20.369 INFO: ManagerServant: Master manager not found
